Username,Text,language,retweet_count,Time,location
myuglydarkness,"Javanrud is one of the cities of Kurdistan-Iran. A city with a small area,but in the coming revolution,people fought for freedom. The Islamic Republic has started a massacre here.  Be the voice of this revolution. Be the voice of these people.  #mahsaami̇ni̇   #Javanrud   #OpIran https://t.co/odyWe8CaUR",en,27,2022-12-31 16:21:50+00:00,
katkemp4,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 16:21:44+00:00,"The Cotswolds,England."
Cheshirecats17,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 16:17:57+00:00,cheshire
payame_azadi,"@1500tasvir #BorhanEliasi, a 22 year-old was shot to death by Islamic Republic’s forces today at #Javanroud. December 31.  #IranRevolution  #MahsaAmini  #OpIran   Please help https://t.co/uCvwd85RQa",en,17,2022-12-31 16:15:37+00:00,
jbryan031,This should be bigger news. #StopExecutionInIran #OpIran #IranRevolution #iran https://t.co/806adYdelj,en,3535,2022-12-31 16:15:34+00:00,United States
sa_ngwoo,"@bwrun1 @mim_nonn #KianoushKimia  26-year-old Iranian protestor Kianoush Kimia was kidnapped by security forces on Friday, September 23, 2022.  Until today, December 30, there is no news about him!!  #SS35  @UN_HRC  #R2PforIran  #OpIran https://t.co/D50LZuXWts",en,5,2022-12-31 16:15:17+00:00,زیرزمین خونه‌ام
Impatient90,@SamanthaIrani For Free Iran   #توماج_صالحی  #توماج_صالحی #توماج_صالحی   #مهسا_امینی  #مهسا_امینی  #مهسا_امینی   #OpIran  #OpIran #OpIran   #اعتصابات_سراسری #اعتصابات_سراسری    #اعتصابات_سراسری,en,0,2022-12-31 16:06:23+00:00,
abbas_shadmani,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 16:04:47+00:00,
Bluelibrra,"@bwrun1 @mim_nonn #KianoushKimia  26-year-old Iranian protestor Kianoush Kimia was kidnapped by security forces on Friday, September 23, 2022.  Until today, December 30, there is no news about him!!  #SS35  @UN_HRC  #R2PforIran  #OpIran https://t.co/D50LZuXWts",en,5,2022-12-31 16:04:31+00:00,هیچ‌جا.
CynthiaLarbey,Internet cut so important to show what’s happening. Remarkable number of citizens from #Zahedan protesting today after the recent massacres and repression. The people of Iran are absolutely determined to regain their freedom and basic human rights. #IranRevoIution #OpIran https://t.co/2iSF6glChw,en,536,2022-12-31 15:53:04+00:00,United Kingdom
imbtc_,Women's rights are human rights.  Jin Jiyan Azadi  #OpAFG   #OpIran https://t.co/GJmHDawRp0,en,155,2022-12-31 15:45:55+00:00,
Alokardo11,"#OpIran the Islamic republic is killing Iranian youth, we don't forget, we don't forgive!    Expect us... https://t.co/LI43545osr",en,30,2022-12-31 15:43:54+00:00,
mh0_mh0_,Women's rights are human rights.  Jin Jiyan Azadi  #OpAFG   #OpIran https://t.co/GJmHDawRp0,en,155,2022-12-31 15:42:52+00:00,Iran
globalsoldier22,والا 👌    We Are Anonymous  We Are Legion   We Don't Forget  We Don't Forgive  Expect Us!   #OpIran  #مهسا_امینی  #اعتصابات_سراسری https://t.co/XLWBIcHBw3,en,481,2022-12-31 15:40:11+00:00,
QueenCobraSnake,"Iran_Karaj.Dec30 Stop negotiations with the Mullahs occupying Iran!Withdraw your ambassadors immediately. Iranians are chanting in over 200 cities worldwide: ""The mullahs are our occupiers"" and the same in the country for more than over 3 Month. #OpIran #مهسا_امینی @SenTedCruz https://t.co/CvK3yKsVA4",en,12,2022-12-31 15:37:47+00:00,
SarbazeMelli88M,"@n_roettgen Please searh #جوانرود  The number of injured is high  #BurhanEliasi 22 year old,  #Javanrood , #Iran was shot and killed by the repressive forces of the terrorist regime of Islanic Republic  Please help #OpIran   #IranRevolution   https://t.co/CUGh94rnVl https://t.co/LPjr7KHAKh",en,5,2022-12-31 15:32:38+00:00,
