Username,Text,language,retweet_count,Time,location
kahkashan4iran,"Khamenei fears even the commemoration of slain protesters. In Javanrud, people gathered to pay tribute to 7 protesters killed 40 days ago. Security forces opened fire, killing another brave young man, Borhan Eliasi. These crimes will only fuel the flames of #Iranprotests.  #Iran https://t.co/XD98lLfCHA",en,80,2022-12-31 17:18:37+00:00,
ChuckDalldorf,#Peace to you and us all.     #Ukraine #Russia #Iran #Belarus #war #NATO #EU #UK #US #UN #Diplomacy #sanctions #refugees #humanity #families #murder #CrimesAgainstHumanity #WarCrimes #StandWithUkraine https://t.co/WCY6EmAbZW,en,0,2022-12-31 17:18:36+00:00,
mmd23860414,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:18:29+00:00,
Az7adi,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:18:28+00:00,
ellsaorg,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:18:27+00:00,
Ahossiniii,Buitenproportionele repressie #Iran: een dieptepunt van 2022.     I will be godfather of #Mohammad_Ghobadlou     Sentenced to death in a sham trial.     His death penalty confirmed last week.     Mohammad is only 22 years old. His life is extremely in danger.     #StopExecutionInIran https://t.co/gq41qeQF6X,en,776,2022-12-31 17:18:26+00:00,"Berlin, Germany"
mry1388,"We may all feel like lonely fighters, sometimes, but together we are many. And if we stop, they will win, for sure.    Into a better 2023 - for Freedom, for Equality, for Peace.     #Iran #Afghanistan #Ukraine #Yemen in my mind tonight. https://t.co/HcjmUdkZQb",en,56,2022-12-31 17:18:24+00:00,
i_wanna_B_free_,"There was a huge campaign a few wks ago in #Iran to have Raisi’s @instagram banned, but he’s since been verified. President of one of the most anti-internet countries in the 🌍 who deprives #Iranians of net access/social networks now has a blue check mark?  @Meta? #IranRevolution https://t.co/JlwaXkW7ZC",en,618,2022-12-31 17:18:21+00:00,hell
EMSC,#Earthquake (#زلزله) M3.7 strikes 26 km NW of #Borūjerd (#Iran) 13 min ago. More info: https://t.co/bbMsQ3KZnK,en,0,2022-12-31 17:18:20+00:00,"Bruyères-Le-Chatel, France"
daniela_sepehri,"Police/security forces used violence and tear gas against the protestors in #Javanrud, #Kermanshah Province. This video shows that the security forces have thrown tear gas into a vehicle. (December 31)  #Iran  #IranProtests https://t.co/AClfu4lAxm",en,13,2022-12-31 17:18:18+00:00,"Berlin, Deutschland"
